content,score,label
KURANGIN IKLANNYA PLSSSS,1,negatif
bagus sekali sangat-sangat bagus😍😍,5,positif
nyaman,5,positif
"awalnya bagus aja,tapi semakin kesini semakin banyak iklan, ganggu,sama,kalo di koleksi lagu yang disukai, suka ke skip jauh,bukan berurutan, jadinya ada yang ga pas dan hilang",4,positif
i love you spotify,5,positif
baik,5,positif
koleksi lagunya lengkap..aplikasi yg sangat bagus,5,positif
sangat suka.. dapat memutar dilatar belakang bahkan saat layar terkunci.. mantab !!,5,positif
jangan ngerekomen lagu trus dong masa nyetel plys malah di kasih rekomen mulu sejam gelo lu,2,negatif
good,5,positif
Tenangin aku,5,positif
bagusssssssss,5,positif
"kekurangan:agak banyak iklan, kelebihan:bisa mendengar sepuasnya",4,positif
"eror trs, gak bisa dibukaaa",3,netral
makin hari makin kikir,1,negatif
cocok buat aku suka lagu,5,positif
pelit bgttt apa apa haruss premium,1,negatif
keren,5,positif
ini sangat membuat saya lebih tenang dan tidak kesepian,5,positif
bagus banget buat maen epep,5,positif
"""kesalahan pada jaringan"" TF you mean bruh",1,negatif
bagus,5,positif
bagus,5,positif
"keren banget goks,besok besok iklan nya 10 aja seru kok dengerin iklan",4,positif
baguss dan bisa diatur putar berikut nya I love it thank you Spotify,5,positif
sangat bagusss,5,positif
WOI MANA LIRIK NYA???,1,negatif
enak buat main😭🫪,5,positif
memudahkan utk mendengarkan musik,5,positif
lagu nya banyak anti ngelek trus jga gampang buat cari lagu.solusi buat nemenin waktu lagi belajar atau main game.cuma banyak iklan setiap 1 lagu iklan iklan bae,4,positif
good,5,positif
"baguss sii cuma minusnya premium,kalo ga premium gw kasih 5 bintang",4,positif
iklan nya banyak amat,5,positif
lengkap👍👍👍,5,positif
aplikasi kikir,1,negatif
Aplikasi kikir final boss,1,negatif
aplikasi musik terbaik secara keseluruhan sudah sangat baik,5,positif
apaan sih banyak iklan nya 😂 minimal GK ada iklan dong wkwkwk jelek dasar jelek,1,negatif
premium nya mahal,4,positif
bgs bgt jd bs nostalgia lagu jaman dlu,5,positif
SPOTIFY JELEKKK KIKIR IKLAN IKLAN AJA TRUS,1,negatif
lumayan 👍,4,positif
jelek,1,negatif
banyak iklan ga bakal bikin gw premium,1,negatif
ini membuat hari saya menyenangkan dan ini membuat hati saya tenang,5,positif
gila iklan sampe 4 parah,1,negatif
bagus dah gitu aja 🗿,5,positif
ok banget,4,positif
bagusss,5,positif
iklan nya di sedikitin,5,positif
kurang banyak iklan nya ajg,1,negatif
bisa dengerin lagu sambil main game,5,positif
bagus rekomendasi untuk mendengarkan musik,5,positif
jujur bagus apalqgi kalau beres² tapi tolong kurangin iklan nya,5,positif
apik lho ya 😹😹👍,5,positif
"jelek banget. parah, maksa bukan pgn nyruh premium? smpe buat 4 iklan setiap kli denger 1 lagu.",1,negatif
enak buat main game lagu nya ☺️,5,positif
AKU SUKA BANGET SPOTIFY tapi plis kenapa skrng kayak maksa banget si harus premium... ada limit nya jadi ga bebas banget.. iklan si aku ga masalah la ya.. tapi hell.. kenapa ga bisa milih lagu secara bebas lagi si?.. padahal spotify bener bener apk kesukaan aku... tapi skrng bikin kecewa,3,netral
bagus dan enak di dengar,5,positif
iklan banyak plus lagu acak tidak karuan. jadi mesti pakai premium.,3,netral
enak banget lagunya,5,positif
App kacau jgn di download,1,negatif
kenapasih ini sportify saya pencet lagu ini keluar lagu itu udah saya ulang ulang tetep aja udah saya hapus baru download lagi tapi sama aja huh bikin kesel aja dehh,1,negatif
good,3,netral
aku mau coba premium 3 hari,5,positif
Sangat membantu dalam pekerjaan rumah,5,positif
bgusssss,5,positif
wah ini bagus sih,5,positif
terlalu banyak iklan,2,negatif
bagusss sayaa sukaaa,5,positif
kok aku enggak bisa nambah ato hapus lagi di blend sihh??,3,netral
bahkan milih lagu aja bayar ngebet premium bgttt,1,negatif
"aplikasi yahudi wkwkwk,sengaja bintng 5 biar bisa diliat org. iklan ga ngotak sampe 8 kali soalnya kaya maksa bgt kesannya nyuruh premium.sukur sukur biasanya iklan sampe 3/4 kali,ini 8 kali,ngaco nih",5,positif
"seruuu, lagu apapun ada, sedikit kebanyakan iklan sii, but it's okay soalnya udah kecintaan banget sama spotify🤭",4,positif
iklannya jadi 4 😭😭,2,negatif
apk nya sangat bagus,5,positif
"baguss sihh cuma kalau lagi dengerin lagu K-Pop tuh lirik nya gak ada, tapi tetap bagus kok",5,positif
makin byk iklan.. makin tahun makin ribet kek maksa pengguna harus beli premium..,1,negatif
ga ada apasi pingin aja kasi bintang 1,1,negatif
ngebrek anying suaranya tolong diperbaikin lagi,1,negatif
Pokoknya asik dengerin musik ato lagu-lagu pake Sporify,5,positif
text lagu korea berharap ada huruf Romanized'a,5,positif
iklan mulu anj,2,negatif
suka banget sama aplikasi ini lengkap banget,5,positif
keren,5,positif
"gajelas bgt keluar spotify sambil buka aplikasi lain malah tiba² ke pause sendiri/berhenti sendiri, admin tidak membantu!",1,negatif
spotify yang menemani ku setiap sedih senang atau marah terimakasih spotify yang telah menemani,5,positif
smoga saya dapat hadiah dari Spotify 🤗🤗🤗,5,positif
oke,5,positif
sangat membantu,1,negatif
premium sangat mahal dan mixing nya melenceng sekali,1,negatif
mendengar music kesukaan anda hanya di Spotify,5,positif
"bagus kalo main game suaranya kedengeran,jadi tenang buat main sambil dengerin lagu nya.",4,positif
jelek,2,negatif
"ini adalah aplikasi iklan, ga rekome 👎",2,negatif
makin banyak iklannya klo ga premium,4,positif
kenapa harus premium? ribet banget sumpah,1,negatif
"spotify canvas nya terlalu berat hingga bikin ngelag. tolong di optimasi, atau lebih baik, dihapus saja.",1,negatif
bagus👍,5,positif
aplikasi yg lebay banyak banget iklan nya apalagi iklan rony parulian sampe bosen dan hapal mendingan ke lyra sama you tube music lebih simple gak kayak spotify boikott,1,negatif
maksa bet orang kg mau premium di suruh premium Mulu dngo bener,1,negatif
bagus tapi sayang nanti lama lama mau premium,5,positif
"Spotify makin lama iklan nya ga banget terlalu over asli bikin mood hancur gara gara nunggu iklan nya doang, iya tau kalo ga mau iklan beli yang prem tapi tolong lah ini saya download aja udah pakai internet berbayar, aplikasi kikir",1,negatif
mantap,5,positif
Bisa ditambah opsi premium 1 tahun seperti sebelumnya,2,negatif
simple,5,positif
bagus,5,positif
koleksi lagunya banyak sekali dan mudah diakses,5,positif
nunggu 4 iklan untuk 1 lagu😹,1,negatif
bagus banget,5,positif
gas boikot ni apk,1,negatif
sangat² berguna sekali,5,positif
Gue suka denger lagu dari sini walau banyak iklan tapi gapapa,5,positif
suka banget👍🏻,5,positif
"iklan bejibun, berbatas pula",1,negatif
baik dan tdk banyak iklan,5,positif
GOOD,5,positif
aplikasi terbaik yg baru saja saya temukan,5,positif
bagus aplikasi ini,5,positif
keren banget,5,positif
keren dan terupdate genre sesuai apa yg diinginkan,5,positif
4 iklan hell naw,1,negatif
mantap,5,positif
banyak iklan dan berbayar.,1,negatif
banyak iklan,3,netral
good,5,positif
bagus aplikasinya,5,positif
"najis aplikasi kikir,serasa di pandang sebelah mata ama ini aplikasi kalau ga premium,mana hrus premium dlu bru bs download lagu kita jg beli paket internet",1,negatif
best,5,positif
sangat bagus tapi aga Lamaan bayar tolong Segara tidak byr,5,positif
"satu lagi 4 iklan hedehh maless, uninstall aja dehh",1,negatif
lagu nya enak de dengar apa lagi lagu watch......,5,positif
"Kuota ada, aplikasi udah diupdate, masih aja ""ada yang salah"" (gangguan)",3,netral
ok,5,positif
"aku kasi 2 bintang aja,, apl banjir iklan monyet",2,negatif
enak lagu nya buat gw tdr,5,positif
Bagus,5,positif
"mau streaming iklan,?? di sini tempatnya gunakan freemium",3,netral
"semakin lama iklannya semakin ngelunjak njirr, parah banget sekarang",1,negatif
soalnya jarang saya pake,4,positif
apk kikir dikit dikit iklan pay to win banget,1,negatif
aplikasi kikir bahkan memilih lagu pun sudah tak boleh,1,negatif
"aplikasi sampah,1 lagu 3 iklan,bacot doang",1,negatif
bagusss,5,positif
bagus buanget,5,positif
loveu pls,5,positif
wawwwwww,5,positif
selalu menemukan musik yang menghibur...sukses selalu Spotify...👍👍👍,5,positif
"gila udah lama bgt pake spotify tapi sekarang kalo ga premium banyak banget iklannya, baru 3 lagu udah dapet iklan 2 menit??????",1,negatif
asik sih tapi kalo bisa lagu yg ber DJ itu ada liriknya itu saran saya sih tapi udah bagus lah,5,positif
bagus bgt apk nyaa gaada iklan sama sekali walaupun ga daftar sukaaaa🥰😍🤩,5,positif
kebanyakan iklan sekarang dulu iklan nya cuman 1 kali lah sekarang malah ngelunjak spek 4 kali,1,negatif
karena saya menjadi mudah menghafalkan lagu karena di spotify ada algu berserta lirik nya dan semua lagu ada di spotify,5,positif
plisss spotif aku gak bisa di bukaaaaa,1,negatif
cuman kurang banyak aj gratisnya,5,positif
baguss,5,positif
"woi, ngotak dikit lah, kok sekarang di batasi dengarin lagu yang pengen didengar, mana iklan nya 4 lagi, ok lah iklan nya 4, tapi kalau di batasi dengarin lagu yang pengen di dengerin udah keterlaluan, mending saya pindah ke apk lain, kikir bat lu",1,negatif
"karna pas dibuka aplikasi nya ada tulis an ""mohon priksa koneksi internet anda"" padahal sinyal nya bagus",1,negatif
sumpah ini aplikasi emang bagus bgt sih tapi kalo gamau iklan harus premium dlu,5,positif
kok malah gaada jaringan si padahal aku pake wifi,3,netral
gk bisa login,1,negatif
sangat bagus dan enak dengar lagu sambil tidur,5,positif
yora piye piye Spotify tempek,1,negatif
"apalh mau nganu akun tpi wifi tdk trsmbg,pdhl mah buat ngapain aj lncar kcuali spotify.",1,negatif
mantap,5,positif
apk sampah unistall,1,negatif
banyak iklan bngst,1,negatif
lagunya enak,5,positif
"duh ini kenapa suka tiba tiba error si? gabisa masuk, suruh coba ulang, padahal koneksi lagi bagus bagus aja",1,negatif
"hei spotify, aku mendownload ulang aplikasi ini lalu saat aku membuka aplikasi nya tiba-tiba ""terjadi kesalahan periksa koneksi internet mu lalu coba lagi"", padahal wifi ku sudah bagus bgt dan lancar disemua aplikasi (kecuali Spotify). aku ngira itu cuman eror biasa, tapi saat aku unstall dan install kembali selama 5 kali, tetap saja eror... tolong di perbaiki ya, aku bingung kenapa ini bisa terjadi padahal jaringan ku sangat bagus.💔🙏🏻",1,negatif
g bisa masuk,1,negatif
banyak bug,1,negatif
nice mjnnn,5,positif
"gbsa di buka, alasn ny internet , pdhl internetku bgus",1,negatif
"aku mau masuk baru aj download tapi kok' jaringannya leg pdahal jaringannya penuh, bug ini tolong di perbaikin",1,negatif
biaya premium terlalu mahal ga ada paket lite kah kaya 2 Minggu 20rb atau 1 bulan 30rb,3,netral
aplikasi ini terbaik menurut saya karena bagus dan berkualitas dari pada yang lainnnn!!!!,5,positif
"saya sangat suka dengan aplikasi ini karena saya bisa mendengarkan musik yang saya mau dan jugak bisa bersamaan dengan mengunakan aplikasi lainya nya , jadi saya sangat suka mengunakan nya",4,positif
"SPOTIFY KENAPA SAAT BARU DOWNLOAD TIBA TIBA ""koneksi tidak terhubung"" PADAHAL GUA UDAH PAKAI WIFI YANG BERINTERNET TAPI PERCUMA JUGA, PAS PAKE DATA JUGA PERCUMA TOLONG WOI, BERBAIKI DONGGG",1,negatif
lumayan lah anj,5,positif
SEKALI HAPUS LANGSUNG GAK BISA LOGIN,1,negatif
"saya baru download pas dibuka ada tulisan ""terjadi koneksi internet lalu coba lagi"" padahal internet saya lancar, kenapa terjadi seperti itu??.",3,netral
sinyal normal wifi normal data normal knp harus cek internet??,1,negatif
tolol,1,negatif
tidak ada dj horeg🗿,4,positif
keren,4,positif
gak bisa di buka,1,negatif
aplikasi buruk bagi kesehatan tubuh,1,negatif
"iklan sampe 4 bener bener keganggu bgt, bahkan skrg ganti lagu cuma bisa 3x lewat dr itu gabisa ganti dipaksa premium, hadeuh..",1,negatif
"aplikasi nya bagus, tapi makin lama makin kikir, iklannya tambah banyakk, terus untuk skip di batasin per hari, padahal sebelumnya ga se kikir ituu",2,negatif
seru setiap aku dengar lagu nya kak semua nya ada,5,positif
"𝑏𝑎𝑔𝑢𝑠 𝑡𝑎𝑝𝑖 𝑎𝑘𝑢 𝑡𝑖𝑏𝑎 𝑡𝑖𝑏𝑎 𝑔𝑘 𝑏𝑖𝑠𝑎 𝑏𝑢𝑘𝑎 𝑙𝑎𝑔𝑢 𝑡𝑟𝑢𝑠 𝑑𝑖𝑠𝑢𝑟𝑢ℎ 𝑏𝑒𝑙𝑖 𝑝𝑟𝑒𝑚𝑖𝑢𝑚 𝑚𝑎𝑠𝑎. 𝑎𝑘𝑢 𝑖𝑛𝑖 𝑢𝑑𝑎ℎ 𝑐𝑢𝑘𝑢𝑝 𝑙𝑎𝑚𝑎 𝑑𝑒𝑛𝑔𝑒𝑟 𝑖𝑛𝑖 𝑒ℎℎ 𝑘𝑜𝑘 𝑚𝑎𝑘𝑠𝑎 𝑝𝑟𝑒𝑚𝑖𝑢𝑚.𝑡𝑒𝑟𝑢𝑠 𝑘𝑜𝑘 𝑡𝑏 𝑡𝑏 𝑖𝑘𝑙𝑎𝑛𝑛𝑦𝑎 𝑗𝑎𝑑𝑖 𝑏𝑎𝑛𝑦𝑎𝑘 𝑠𝑖ℎ 𝑝𝑙𝑖𝑠 𝑑𝑒ℎ. 𝑢𝑏𝑎ℎ 𝑗𝑎𝑑𝑖 𝑔𝑟𝑎𝑡𝑖𝑠 𝑎𝑝𝑘 𝑝𝑙𝑖𝑠 𝑚𝑒𝑛𝑑𝑖𝑛𝑔𝑎𝑛 𝑏𝑖𝑎𝑟 𝑔𝑘 𝑑𝑖 ℎ𝑢𝑗𝑎𝑡,",3,netral
nice,5,positif
aplikasi kikir GK ngotak iklanya 4 males degerya saran gua medong GK ush deh donlotya nanti yesel,1,negatif
aplikasi ini baguss dahh pokonyaa cuman kadang iklanya ituu kek 5 menitan lama bett🙏🏻😭😭,4,positif
sangat bagus gratis dan ada juga ada menampilkan lirik lagu tersebutt,5,positif
bagus banget aplikasi ini,5,positif
"sangat buruk. Masa saya baru dengar satu lagu iklan nya uda 5? mana iklan nya maksa banget buat suruh premium apk, Gak respect lagi ama ni apk.",1,negatif
bagus untuk dengerin musik,5,positif
bagus banget,5,positif
bagus sih tapi tolong kurangi iklan nya,4,positif
to get full version free music,5,positif
"aplikasi kikir dikit"" iklan ,nambah 1 iklan nya jadi 4 (mau nyuci piring dengerin musik niatnya ehh malah udah keburu lese sebelum lagu nya di puter)",1,negatif
"banyak iklan, tempekkkkkkkkkkkkk",1,negatif
seru soal nya dengerin lagu sambil main geme pasti seru coba donlwlod dah,5,positif
terlalu banyak iklan,1,negatif
ok,5,positif
saya download buat hapus playlist bareng mantan saya,1,negatif
terlalu banyak iklan dan promosi tentang Spotify premium,1,negatif
bisa dengeri baon cikadap🙊,5,positif
"sangat seru sekali aplikasi nya dan lagunya sangat bestt🔥,tapi yang agak sedikit mengecewakan adalah harus ada iklannya sihh😭,tapi tetep bagus kok aplikasi Spotify ini😻😻",5,positif
jujurlyy saya suka dengan aplikasi ini saya jadi bisa melatih.,5,positif
iya,5,positif
"Aplikasi Kikir, banyak bet iklannya",1,negatif
banyakk iklan 😫,4,positif
"iklannya banyak banget sekalinya iklan bisa 4 kali padahal dulu iklannya pling banyak 2 tapi sekarang iklannya muncul dua kali putaran lagu sebenarnya aplikasi ini aplikasi musik atau aplikasi iklan sihh udah kebelet kaya lu!?! sesuaikanlahh sama kondisi kita yang masih sekolah, udah itu ajaaa selebihnya bagusss bangettt🥰",3,netral
mantap,5,positif
"dikit dikit iklan,3 iklan pula itu",1,negatif
good kasi gratisanlah kk,5,positif
good,5,positif
saya bagi bintang 5 kerana alpikasinya sangat bagus untuk mendengar lagu ketika sedang membuat kerja sekolah,5,positif
Woi nyariin lagu apa mesti pencet malah setel lagu lain,1,negatif
cukup lengkap lagunya,5,positif
"jelek, lagu tiba tiba ilang dan palylist",1,negatif
apakah bisa pilih lagu,5,positif
sangat enak untuk mendengarkan lagu,5,positif
Bagus mantep,5,positif
walahh jembutt,5,positif
jelek,1,negatif
lagu2nya keren abis,5,positif
kenapa hrus bayar ihhh,5,positif
sukaa banget enak di buat dengerin musik 🙇🏻‍♀️🙌,5,positif
baik sekali,5,positif
sangan kreb,5,positif
mantap,5,positif
"aplikasinya membuat bagus bgt,aku seneng denger musik disini",5,positif
"bagus si bagus , tp bikin kesel anjir, aku baru denger 3/4 lagu, iklan,iklannya panjang lg, trs suka dipaksa paksa pke paket premium, klo gk premium gbisa denger lagu yg kita mau, gausah gtu bisa gsi?? bikin kesal aj.",3,netral
mantap pas gak ada internet,5,positif
"banyak iklan, tiap 3lagu sekali ada 4 iklan berturut""",1,negatif
"banyak banget iklannya sekarang, dikit dikit iklan, mana empat lapis",1,negatif
pokok nye manteb dahhh....belon ade dua nye,5,positif
sangatlah penting bagi orang yang mau cari lagu,5,positif
"benci banget sm iklannya, mana gabisa di skip. minimal mempermudah pengguna gratis lah jngn apa apa harus premium, sbg pengguna lama spotify agak kecewa sih ya makin ksini mkin dibatasin buat pengguna gratis, ap apa hrus premium dlu baru bisa leluasa, padahal spotify ngebantu banget tpi mkin kesini jdi sering iklan, mana buat 1 lagu 4 iklan wkwk, jngn maksa orang buat premium dong, sayang bngt pdhl apk nya bgus.",3,netral
baguss,5,positif
"dengar apa? dengar patah patah, udh premium loh. heran, udh komplain ke CS, itu itu aja yg di suruh ga membaik lagi. udh coba uninstall, hapus cache, dll dari mereka saranin, ga ada perubahan. Masih patah patah (kyk buffering tapi ini banyak). Tolong di perbaiki.",2,negatif
aplikasinya sangat bagus,5,positif
mudah dan suara bagus,5,positif
"Spotify selalu nemenin hari² aku.. Galau, sedih, seneng, banyak kerjaan, gabut, segala suasana aku pasti ada Spotify.. Spotify jg ngajarin aku buat belajar bahasa Inggris lewat lirik² lagu.. Terima kasih Spotifyku.. ❤️❤️❤️❤️❤️",5,positif
aplikasi sangat bagus tapi tambahkan lagu seventeen,5,positif
kebanyakan iklan 🗿,1,negatif
ga ada iklan trus waktu ga ada kuota atau wifi masih bisa,4,positif
baguss,5,positif
ini sangat baguss buat kita mau dengerr lagu walau pun ada iklan sedikitt tapi ini tetap jadi tempat favorit ku saat aku ingin mendengar lagu,4,positif
good app,5,positif
👍🏼👍🏼👍🏼,5,positif
sebenarnya ini tuh udah bagus banget apknya cuman tiap dengerin musik suka tiba-tiba iklan🥰.. dan itu nyebelin dan risih bgt buat gw😭🤗maaf ya devnyaa😇..,4,positif
bagus banget,5,positif
Bagus sekali,5,positif
"FF DI HATI, hehe",5,positif
udah cape nge download lagu mslah jadi premium,1,negatif
bagus,5,positif
aku suka aplikasi nya,5,positif
APLIKASI KIKIR IKLAN SAMPE 4 MANA GABISA DISKIP SEMUA LAGI,1,negatif
"kikir, cmn ngeplay 2 lagu iklannya 3 klo gk ya 4",2,negatif
tolong ilangin iklan nya dong sering tiba-tiba muncul pas lagi ngedj galau lah kesel banget 👊🏻😌,4,positif
Mantap,5,positif
"makin kesini makin kikir men, iklan sampe 4, milih lagu terbatas bangat + waktu reset nya lama, liat lirik dibatasi, dan banyak lagi men. dulu masih enak karna iklan minim, milih lagu bebas gaada batasan, dan liat lirik ga dibatasi, sekarang udah kayak moonton kikir bangat gilak, sakit lu men",1,negatif
bintang 1,5,positif
bgus,5,positif
"dengerin lagunya terbatas, sehari cuman beberapa menit",1,negatif
aplikasi ini sangat bagus untuk mendengarkan musik,5,positif
seru njir bisa sambil berak,5,positif
saran yang belum dwonload mending dwonload apk lagi aja soalnya iklannya ga ngotak kalo ga premium,1,negatif
banyakan iklannya daripada dengerin lagunya 😃,1,negatif
musikx mantap,5,positif
suka tapi kurangin iklan,5,positif
aku suka lagu ya ada di sini tapi kekurangan nya iklan terus maaf ya,5,positif
"aplikasi miskin, maksa harus premium",1,negatif
kebanyakan iklann,1,negatif
mantap,5,positif
👍👍👍💜,5,positif
apk apaan bnyk bgt iklan ny,2,negatif
"apaan coba denger lagu 1x iklan nya 4x, setiap ganti lagu kena iklan 4x, setelah beli premium terus habis iklannya ga masuk akal coba. denger lagu 5 menit iklan 1 menit",1,negatif
simple and enjoyful,5,positif
aslinya sih ga bintang satu bintang nol tb aplikasi di saya nge bug kalo ga nge bug sih bintang 5 gk banget sih sampe katanya periksa koneksi padahal lancar minta di benerin oi aplikasi di akun saya temen saya aja masih lancar knp ini oi owner nya tangung jawab ga gua udh besti banget sama aplikasi nya tb tb nge bug kesel gua tanggung jawab ga lu owner nya,1,negatif
semua lagu ada,5,positif
mudah dan kualitas suara jernih,5,positif
laguny sesuai mood banget,5,positif
good,5,positif
Cukup memuas kan,4,positif
"tingkat kan pelayanan,bagus,keren",5,positif
iklan gausah 3–4 cukup 1–2 aja,3,netral
"bagus ,Sukak banget",5,positif
enak dah,5,positif
bagus banget buat dengar lagu sehari hari,5,positif
too much iklan cooo,2,negatif
enak banget,5,positif
kebanyakan iklan,1,negatif
OK,5,positif
👍👍,5,positif
tolong buatkan langganan selama setahun !!! terimakasih 🙆🏻‍♀️🥰,5,positif
Good app ..nice,5,positif
"gila, ini kikir sih",1,negatif
"overall bagus yah audionya bagus juga,masalahnya cuma di fiturnya ,masa dalam sehari kalo terlalu banyak dengar lagu ada notif harus premium itu gimana ya,seakan maksa banget ,kalo untuk masalah mau download harus premium its oke lah, tapi tolong ilangin fitur batasan harian itu",3,netral
sangat baik untuk yang berlangganan,5,positif
lagu 2 iklan 4 dehel makin kgk mau ke premium,1,negatif
bagus,5,positif
pemaksaan banget anda suru premium biadap sekali anda,1,negatif
👍,5,positif
terlalu banyak iklan,3,netral
"7 tahun make, makin lama makin banyak iklan",2,negatif
semoga kedepan nya lebih baik lagi,5,positif
sangat cocok untuk aku banget sih,5,positif
"parah main potong saldo.. padahal sudah dibatalkan langganan.. cape tiap buat di potong.. gimna batalin nya ga jelas.. nyesel pernah berlangganan jangan pernah berlangganan premium.. sampe kapan pun dengan cara apapun ga bisa stop.. bekali kali udh di batalin, lewat emai maupun aplikasinya tetep aja di potong otomatis, bahakan ketika ga ada saldo pun mereka tetep potong saat ada saldo !! nyesel banget banget tergoda langganan murah awal nya.. akhirnya malah mahal.. aplikasi licik..",1,negatif
bagus,5,positif
mantap banget,5,positif
bagus buat tidur ini Spotify,5,positif
TERBAIKKK SPOTIFY 👍👍👍,5,positif
"kalo emg gmw iklan an,yaudah upgrade ke premium lah situ miskin amat ya?",5,positif
sejauh ini aplk udah cukup baik,5,positif
oke,5,positif
Padahal udah bagus lengkap cakep mantep tapi bikin gua ga jadi ngasih itu semua gara gara makin kesini makin pelit kebanyakan iklan kikir bgt anj,5,positif
ok,4,positif
"kebanyakan iklan ga ngotak iklan nya ckckck, dikit"" iklan duhhh",1,negatif
kikir,1,negatif
kikir app nya,1,negatif
Baguna sekali,5,positif
"woi kikir,apaan dah iklan ada 4 itu pun setiap ganti lagu beberapa kali ada lagi iklan nya,terlalu kikir ni",1,negatif
keren,5,positif
terlalu banyak iklan,3,netral
bagus banget,5,positif
tolong jangan tambahin sembarangan lagu ke playlist yang telah dibuat...,3,netral
banyak iklan,1,negatif
sangat bagus dan sangat baik,5,positif
Mantaf jiwa,5,positif
BAGUS UAAA!,5,positif
tinggal klik,5,positif
"aplikasi dosa ketamakan, harga yang harusnya 59.99k buat premium sekarang 79.99k",1,negatif
Bagus sekali lagi saya ucapkan terima kasih atas Spotify,5,positif
bagus,5,positif
sangat baguss🥰🥰,4,positif
masi oke kalo iklan lah ini skip aja perjam 6x?? mau pilih lagu di suruh premium?? sehat?,1,negatif
"aplikasinya bagus, saran opsi buat gratis perhari 15-20 musik / 1-2 jam dengan fitur all unlocked fitur, jadi buat yang premium cuman buat iklan sama durasi pemakaian😁",3,netral
"makin lama iklannya menjadi jadii yaaa, dari 1 terus 3 terus 4 nanti kayanya 10 kali iklannya atau satu lagi satu iklan",1,negatif
ko bayar,2,negatif
banyak pilihan lagu,5,positif
saya sangat suka dengan aplikasi ini. meskipun sering iklan karena tidak premium. tapi TDK mengapa karena masih enak dipakai dan lagu nya worth it semua. tergantung minat pengguna,5,positif
"yg freelance, hrsnya lebih diberi keleluasaan putar musik, kan kuotanya bisa bwt bayar",5,positif
mantep,5,positif
intinya harus premium baru asik,1,negatif
saya sering dengarkan musik favorit saya disini,5,positif
bagusss banget apk nyaa,5,positif
bagus banget,5,positif
bagus,4,positif
coba kagak ada iklannya masa harus premium baru bisa,4,positif
aku gak terlalu suka karena terbatas lagunya🙏🙏🙏,2,negatif
good,5,positif
baguss,5,positif
kebanyakan iklannnn gw baru putarr 1 laguuu timbul nyaaa 3 iklannn😓,1,negatif
suka bgt dengerin lagu laguuuu,5,positif
enak dengerin lagu favorit,5,positif
iya bagus cuma tolong perbaiki iklan banyak + lama. selebihnya si bagusss,5,positif
sangat bagus untuk mendengarkan musik sambil bermain game membuat semuanya terasa lebih baik,5,positif
"buset sekarang kikir banget yak,iklan bisa nyampe 4 padahal baru mutar 1 lagu udah iklan aja",1,negatif
lagu nya banyak bagus tapi seru juga cocok untuk yang suka dengerin musik intinya bagus di download orang banyak juka Bu Siti beli di warung Bagas ini bagus guys,4,positif
iklan mulu aneh,1,negatif
mantap,5,positif
aplikasi kikir,1,negatif
seru kerennn,5,positif
mines 1 karna saya kalo mau pilih lagu disuruh bayar dulu RP 79.000 selama 2 bulan badahal saya lagi gk ada uang sebenarnya sih lagunya bagus bagus semua sayangnya di suruh bauar,4,positif
terlalu banyak iklan makin kikir nie Spotify,2,negatif
adlh pokoknya,5,positif
asik,4,positif
lagu nya lengkap,5,positif
woilah cik😹 ngotak lah iklan sampe 2 menit,1,negatif
bagus aku bisa dengar lagu sambil main game,5,positif
"klo bisa jangan harus bayar,dan iklan nya di kurangi",5,positif
baguss,5,positif
terimakasih yang membuat aplikasi ini saya sangat tenang dengan aplikasi ini,5,positif
kikir,1,negatif
terlalu banyak iklan 😭😭😭,1,negatif
apalah dikit dikit premium,1,negatif
sangat cocok untuk didengarkan,5,positif
Ketik lagu di penelusuran langsung muncul dengan cepat. tapi masih ada lagu yang belum ditaruh di spotify. Tapi tidak apa apa,5,positif
ini aplikasi banyak iklan dipaksa ke premium juga banyaklah pokoknya yang dibatasin bagi yang nanya knp gw taro bintang 5? biar usalan saya yang paling atas dan tetap dibaca,5,positif
GACORRRRRRRRRR!,5,positif
lagu nya banyak banget jir,5,positif
Tolong hilangkan iklan nya dong karena cuma di spotify tempat dengar lagu favorit aku,5,positif
premium gratis nya mana wok😜😜,5,positif
"Halo, ini gimana ya saya mau melakukan pembayaran perpanjangan paket premium tapi mau milih pembayaran gopay gabisa login shopepay ga bisa juga sampe dana akhirnya bisa ke hubung tapi malah ga bayar2 ini gimana sih",3,netral
sangat bagus,5,positif
gokil,5,positif
lumayan dan seru,5,positif
mantap,5,positif
bguss bgt,4,positif
Suka lagu inggris,5,positif
ini bagus banget 10/10,5,positif
boikot,1,negatif
baguss bangett,5,positif
"BAGUSSS BANGETTT,CUMA BISA GA BUAT BISA PASANG MUSIK PAS OFFLINE KRN DI PEGUNUNGAN JARINGAN NYA GA BAGUS DISINI,MAKASIHH🙆",5,positif
lagu nya asik bisa nyalain lagu walaupun hp mati tapi sering ada bug misal nya sering error bunyi seeeeeee gitu lalu juga sering mati lagu nya tolong diper baiki ya spotify🙏,4,positif
perfect,5,positif
mantap,5,positif
terlalu banyak iklan,1,negatif
"apk kikir kali ya, lama2 ngelunjak. dulu okelah, iklan udah ada tapi ga sering2 bgt. lah ini, 2x pemutaran iklannya 4x, lawak. mana buat prem ga banget. kl mau kaya ga harus segininya juga kali, ga worth it",1,negatif
mantap,5,positif
cools,5,positif
bagus kok insyaallah,5,positif
good Sukak 👍👍,5,positif
bagus bangett,5,positif
